filepath,label,split
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\651.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\224.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\653.png,fake,val
F:\PyTorch practice\ViT_Deepfake\data\real_cifake_images\859.png,real,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\206.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\311.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\232.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\real_cifake_images\982.png,real,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\14.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\413.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\734.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\real_cifake_images\990.png,real,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\186.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\205.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\358.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\941.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\503.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\real_cifake_images\1000.png,real,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\547.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\671.png,fake,val
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\866.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\real_cifake_images\872.png,real,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\959.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\650.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\100.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\847.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\348.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\611.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\526.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\850.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\767.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\646.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\932.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\929.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\723.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\854.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\4.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\765.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\328.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\162.png,fake,val
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\521.png,fake,val
F:\PyTorch practice\ViT_Deepfake\data\real_cifake_images\965.png,real,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\931.png,fake,val
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\528.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\real_cifake_images\962.png,real,train
F:\PyTorch practice\ViT_Deepfake\data\real_cifake_images\895.png,real,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\118.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\881.png,fake,val
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\435.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\409.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\687.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\510.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\74.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\780.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\84.png,fake,val
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\281.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\94.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\real_cifake_images\979.png,real,train
F:\PyTorch practice\ViT_Deepfake\data\real_cifake_images\897.png,real,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\478.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\230.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\331.png,fake,val
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\679.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\811.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\482.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\real_cifake_images\853.png,real,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\743.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\778.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\747.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\342.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\702.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\302.png,fake,val
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\979.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\584.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\24.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\724.png,fake,val
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\822.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\238.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\944.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\real_cifake_images\881.png,real,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\934.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\361.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\421.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\156.png,fake,val
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\969.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\572.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\real_cifake_images\992.png,real,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\377.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\443.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\699.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\612.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\374.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\921.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\799.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\422.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\531.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\67.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\910.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\real_cifake_images\930.png,real,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\670.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\758.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\231.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\136.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\994.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\760.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\real_cifake_images\932.png,real,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\674.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\234.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\669.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\471.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\833.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\600.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\17.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\919.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\105.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\real_cifake_images\922.png,real,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\487.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\832.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\975.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\58.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\649.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\179.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\706.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\146.png,fake,val
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\344.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\real_cifake_images\862.png,real,train
F:\PyTorch practice\ViT_Deepfake\data\real_cifake_images\945.png,real,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\280.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\454.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\57.png,fake,val
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\757.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\480.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\195.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\363.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\466.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\178.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\258.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\400.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\165.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\807.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\473.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\637.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\319.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\802.png,fake,val
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\918.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\345.png,fake,val
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\208.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\930.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\660.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\926.png,fake,val
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\431.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\863.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\253.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\461.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\251.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\426.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\950.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\308.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\897.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\949.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\79.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\262.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\887.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\351.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\535.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\182.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\876.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\976.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\real_cifake_images\961.png,real,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\107.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\402.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\696.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\529.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\real_cifake_images\988.png,real,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\566.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\357.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\795.png,fake,val
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\825.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\real_cifake_images\993.png,real,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\966.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\249.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\658.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\688.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\514.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\51.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\523.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\512.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\507.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\548.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\171.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\352.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\172.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\893.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\591.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\541.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\884.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\real_cifake_images\861.png,real,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\346.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\844.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\59.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\463.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\665.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\157.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\534.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\715.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\946.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\287.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\491.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\805.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\256.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\real_cifake_images\866.png,real,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\585.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\376.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\real_cifake_images\927.png,real,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\721.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\151.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\real_cifake_images\860.png,real,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\915.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\247.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\869.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\207.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\227.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\446.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\722.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\5.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\639.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\405.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\661.png,fake,val
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\546.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\500.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\real_cifake_images\942.png,real,val
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\965.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\843.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\907.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\416.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\540.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\525.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\real_cifake_images\941.png,real,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\641.png,fake,val
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\582.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\91.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\766.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\552.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\216.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\631.png,fake,val
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\657.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\35.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\785.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\598.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\978.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\824.png,fake,val
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\912.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\330.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\441.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\real_cifake_images\931.png,real,val
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\263.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\522.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\110.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\783.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\333.png,fake,val
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\31.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\16.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\449.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\615.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\237.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\725.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\real_cifake_images\970.png,real,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\906.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\68.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\459.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\462.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\384.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\654.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\567.png,fake,train
